started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2024-02-01 07:20:20.088000+00:00,2024-02-01 07:49:00.520000+00:00,1720,435,Fram-gården,langs Bygdøy Allé,59.915424,10.714577,567,Forskningsveien,ved SINTEF,59.945450633702556,10.713867957672134
2024-02-01 07:20:55.466000+00:00,2024-02-01 07:29:41.789000+00:00,526,454,Furulund,langs Vækerøveien,59.9198098,10.651118,484,Karenslyst allé,ved Skabos vei,59.92033,10.683814
2024-02-01 07:21:04.624000+00:00,2024-02-01 07:26:52.140000+00:00,347,537,St. Olavs gate,ved Pilestredet,59.9179676629428,10.738628884264756,449,Ruseløkkgården,langs Løkkeveien,59.91357497092093,10.726229742333288
2024-02-01 07:21:55.476000+00:00,2024-02-01 07:26:00.516000+00:00,245,468,Skillebekk,langs Drammensveien,59.912793405455375,10.710103028570302,479,Tjuvholmen,ved Bryggegangen,59.909467,10.722509
2024-02-01 07:22:35.793000+00:00,2024-02-01 07:31:26.712000+00:00,530,1919,Kværnerveien,Ved Kværnerveien 5,59.90591083488326,10.778592132296495,787,Kirkegata 15,ved Kunnskapsdepartamentet,59.91015615055511,10.743456971511705
2024-02-01 07:22:56.874000+00:00,2024-02-01 07:25:19.135000+00:00,142,464,Sukkerbiten,ved gangbroen,59.905124380703484,10.753763553726515,465,Bjørvika,under broen Nylandsveien,59.909006,10.75618
2024-02-01 07:24:30.750000+00:00,2024-02-01 07:55:15.650000+00:00,1844,440,Lakkegata,ved Sundtkvartalet,59.9172088,10.7622135,615,Munkedamsveien,ved Haakon VIIs gate,59.9135227,10.7301061
2024-02-01 07:25:08.961000+00:00,2024-02-01 07:30:16.913000+00:00,307,2328,The Hub,Mellom Oslo City og The Hub hotel,59.912522370233745,10.750910185807754,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2024-02-01 07:25:20.984000+00:00,2024-02-01 07:42:03.592000+00:00,1002,1755,Aker Brygge 1 mot Nasjonalmuseet,bak muren ved plattform G,59.91118372188379,10.730034556850455,378,Colosseum Kino,langs Fridtjof Nansens vei,59.92984300295666,10.711284727205708
2024-02-01 07:25:30.269000+00:00,2024-02-01 07:37:43.880000+00:00,733,608,Colletts gate,ved Diriks gate,59.93068679863987,10.746273349149249,496,Fysikkbygningen,ved Sem Sælands vei,59.937957367051965,10.719488529430388
2024-02-01 07:25:43.594000+00:00,2024-02-01 07:32:25.769000+00:00,402,556,Pilestredet,ved Sporveisgata,59.9262242,10.7296246,449,Ruseløkkgården,langs Løkkeveien,59.91357497092093,10.726229742333288
2024-02-01 07:26:27.309000+00:00,2024-02-01 07:36:55.256000+00:00,627,464,Sukkerbiten,ved gangbroen,59.905124380703484,10.753763553726515,509,Kjeld Stubs gate,ved hjørnet Tordenskiolds gate,59.912711,10.735595
2024-02-01 07:28:22.943000+00:00,2024-02-01 07:42:48.404000+00:00,865,447,Kværnerbyen,langs Smeltedigelen,59.904473,10.786167,545,Arkaden Sør,langs Dronningens gate,59.9119691,10.7478583
2024-02-01 07:28:46.126000+00:00,2024-02-01 07:53:02.929000+00:00,1456,489,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095,611,Bankplassen,ved Kirkegata,59.908454,10.741869
2024-02-01 07:28:55.764000+00:00,2024-02-01 07:36:26.359000+00:00,450,552,Trelastgata,ved Nordenga bru,59.908004655328924,10.7625700380287,2330,Stjerneplassen,Krysset Skippergata Storgata,59.91323316606503,10.749958763650312
